frequencia (Hz),Vpp1 (V),Vpp2 (V),fase (Ch2-Ch1) (graus),T,T_dB
10.0,3.2876303196,1.9649226665,57.4200057983,0.35721112081267714,-4.4707502897610265
16.237767391887218,3.7103962898,2.7990396023,40.7017555237,0.5690854634127143,-2.4482250776766192
26.366508987303583,3.8803768158,3.4228589535,27.3706436157,0.7780906643552777,-1.0896979538165685
42.81332398719393,3.989020586,3.8004434109,16.9520568848,0.9076867279378261,-0.420640146983714
69.51927961775606,4.0006890297,3.9233043194,11.515994072,0.9616884544244793,-0.16965597856193798
112.88378916846884,4.0129961967,4.0336608887,8.1355934143,1.0103254011731422,0.044612719743303594
183.29807108324357,4.0006504059,4.0201358795,4.2228736877,1.0097648753890036,0.042202597145439474
297.63514416313194,4.0131158829,4.0604352951,2.5714285374,1.0237214123293814,0.10181787158266349
483.2930238571752,4.0007648468,4.0644974709,0.6956521869,1.0321139884078334,0.13727664154312838
784.7599703514607,4.0378489494,4.0286002159,-0.0,0.9954242263852044,-0.019917937131768093
1274.2749857031336,4.0005793571,4.0905761719,0.4585987329,1.045497958366755,0.19323189070555202
2069.13808111479,4.0602941513,4.1031622887,-1.3421705961,1.021227248236315,0.09122394068756437
3359.818286283781,4.0727849007,4.0840640068,-1.9341840744,1.0055464378622578,0.024021318612869547
5455.594781168515,4.0602555275,4.1275510788,-0.5898416638,1.033423136221409,0.14278180279908925
8858.667904100823,4.0727472305,4.1402521133,-2.2360248566,1.033424280066653,0.14278660978845611
14384.498882876629,4.060529232,4.2281432152,-5.5894188881,1.084261646591859,0.3513409581818183
23357.21469090121,4.0730233192,4.6314415932,-13.4453792572,1.2930001939515614,1.115985900250859
37926.90190732246,4.0595564842,6.1932320595,-31.9575138092,2.327434831496885,3.668775295169559
61584.82110660255,4.0720472336,2.5944645405,-134.7783355713,0.40594749415998616,-3.9153013507110273
100000.0,4.0850496292,0.7060037255,4.5045046806,0.02986890566791562,-15.247806887146464
