frequencia (Hz),Vpp1 (V),Vpp2 (V),fase (Ch2-Ch1) (graus),T,T_dB
1525.9999999999995,4.0873112679,4.0168595314,-0.0,0.9658237142291112,-0.1510213541071127
1526.6853287554895,4.1003651619,4.080532074,-0.8801955581,0.9903495802394046,-0.04211478159575701
1527.3709652930931,4.0872731209,4.0422444344,-0.6593406796,0.9780877621481827,-0.09622174960205535
1528.0569097510327,4.0998468399,4.0551486015,-0.4409062862,0.9783140294128273,-0.09521718473882017
1528.7431622675972,4.0875520706,4.0422062874,-0.6605504155,0.9779358120508566,-0.09689649698032433
1529.429722981138,4.0995035172,4.0297660828,-0.4403669536,0.9662670000273661,-0.14902852242435938
1530.1165920300632,4.0868916512,4.0421681404,-0.880464673,0.9782334319965685,-0.09557498861372773
1530.8037695528485,4.1000967026,4.0550723076,-1.8704155684,0.9781579874639107,-0.09590994350990435
1531.49125568803,4.0871682167,4.041349411,-0.8823528886,0.9777048657506406,-0.0979222345343084
1532.1790505742074,4.0997443199,4.0289115906,-1.1053116322,0.9657438011782107,-0.15138070781109775
1532.8671543500382,4.0871295929,4.0673599243,-1.1039558649,0.9903492880910837,-0.04211606274359507
1533.5555671542468,4.0990772247,4.0288739204,-0.6623734832,0.9660400972632346,-0.1500484702264661
1534.2442891256196,4.112326622,4.0164737701,-0.441988945,0.9539259599228469,-0.20485332261100456
1534.9333204030008,4.0996723175,4.0548033714,-1.1042944193,0.9782307423116756,-0.09558692969930849
1535.6226611253023,4.086745739,4.0423297882,-0.2212661207,0.978381533457736,-0.09491753021127951
1536.3123114314972,4.0737009048,4.0801072121,-0.6629834175,1.0031476756558189,0.013648712073498962
1537.0022714606173,4.0868625641,4.0410399437,-0.8861538768,0.9777013618373785,-0.09793779887253468
1537.692541351761,4.0733513832,4.0544190407,-0.8866994977,0.9907258945564874,-0.040464857244916295
1538.3831212440894,4.1118950844,4.0419459343,-0.664206624,0.9662665599697504,-0.149030500290081
1539.0740112768215,4.0733132362,4.0290408134,0.4433497488,0.9783803385397762,-0.09492283434443638
1539.7652115892429,4.1118564606,4.0419073105,-0.0,0.9662662458205877,-0.14903191225315288
1540.4567223207027,4.0732746124,4.0546560287,-0.0,0.9908790673328436,-0.03979346114971928
1541.148543610607,4.0858101845,4.0412521362,-0.8888889551,0.9783078111496711,-0.0952447890241222
1541.84067559843,4.0732364655,4.0541567802,-0.2218114734,0.9906536242980329,-0.04078167261691086
1542.5331184237064,4.0857725143,4.0157976151,-1.332510829,0.9660403573038274,-0.15004730118410792
1543.225872226035,4.0731983185,4.0541186333,-0.2220851481,0.99065353702015,-0.040782055236059316
1543.9189371450734,4.1117401123,4.04164505,-0.6666666865,0.9661955346679307,-0.1493497396351143
1544.612313320546,4.0731601715,4.0540800095,-0.8894379735,0.9906532166704719,-0.0407834596233126
1545.3060008922398,4.0856895447,4.0665540695,-0.8905379772,0.9906548629576499,-0.04077624243741005
1546.0000000000005,4.0987329483,4.0540418625,-1.3349814415,0.9783116203328454,-0.09522787917229812
