frequencia (Hz),Vpp1 (V),Vpp2 (V),fase (Ch2-Ch1) (graus),T,T_dB
10.0,3.3988540173,1.9739265442,53.9460525513,0.33728494060172487,-4.720030491445552
16.237767391887218,3.7602922916,2.7901072502,40.7017555237,0.5505523065115059,-2.592014135674944
26.366508987303583,3.9569861889,3.4601411819,27.3417720795,0.7646427408250906,-1.165414301128301
42.81332398719393,4.0426673889,3.8114752769,18.1849346161,0.88889444431931,-0.5114980817648965
69.51927961775606,4.0796785355,3.9378578663,12.0083389282,0.9316830319795676,-0.3073181390759721
112.88378916846884,4.0669693947,4.0235905647,7.3137698174,0.9787815035413565,-0.09314246293913962
183.29807108324357,4.0794825554,4.0359678268,3.9560437202,0.9787803241528998,-0.09314769599887246
297.63514416313194,4.0669307709,4.0736865997,3.4285714626,1.0033250824477837,0.014416694501290274
483.2930238571752,4.104783535,4.0608386993,1.0434782505,0.9787030892856423,-0.09349040824304886
784.7599703514607,4.0668926239,4.0736479759,0.8470588326,1.0033248787942983,0.014415812976493803
1274.2749857031336,4.0794053078,4.0601792336,-0.0,0.9905962919136198,-0.041033020394777915
2069.13808111479,4.1155052185,4.14920187,-0.8955224156,1.0164425018413232,0.07082816481874811
3359.818286283781,4.1281676292,4.1606993675,-1.5715246201,1.015822962285327,0.068180256623933
5455.594781168515,4.1415061951,4.1478967667,-2.7480914593,1.0030884909017448,0.013392474921132894
8858.667904100823,4.1026453972,4.1861839294,-4.4641275406,1.0411388431496569,0.17508649580596625
14384.498882876629,4.1159071922,4.2773184776,-6.005177021,1.0799708384303797,0.33412028746435257
23357.21469090121,4.1285748482,4.6007514,-10.7462682724,1.241815879396839,0.940572089729459
37926.90190732246,4.1149263382,5.9470748901,-28.5216083527,2.0887318276840414,3.1988268448331465
61584.82110660255,4.128226757,2.8538706303,-128.6506500244,0.4779048911926413,-3.2065852460139963
100000.0,4.1657028198,0.8557412624,3.5999999046,0.042199604271748584,-13.746916216307845
