frequencia (Hz),Vpp1 (V),Vpp2 (V),fase (Ch2-Ch1) (graus),T,T_dB
10.0,3.4116919041,0.0596937984,-91.3320083618,0.00030613911278605364,-35.14081180752222
16.237767391887218,3.774780035,0.0992560759,93.3019485474,0.0006914024336723875,-31.602690961146585
26.366508987303583,3.9722316265,0.1551564783,89.7534179687,0.0015257054489781388,-28.165293027054293
42.81332398719393,4.0321421623,0.25776577,87.8424682617,0.004086757026130627,-23.886211820455657
69.51927961775606,4.0445456505,0.4152799845,82.6147460937,0.010542473452241635,-19.770574839397984
112.88378916846884,4.0569877625,0.6598675251,79.1431732178,0.02645489946223327,-15.774938845980095
183.29807108324357,4.0694684982,1.0542479753,73.9002914429,0.06711354346563503,-11.731898306674553
297.63514416313194,4.0319037437,1.6543767452,64.9285736084,0.16836372384268627,-7.737514771599086
483.2930238571752,4.0194988251,2.4287219048,50.0869560242,0.36509994491071224,-4.375882325801973
784.7599703514607,3.957811594,3.197414875,31.1076202393,0.6526611311651038,-1.8531225067641182
1274.2749857031336,3.8969211578,3.685352087,8.2547769547,0.8943648699539474,-0.4848526791559449
2069.13808111479,3.9808540344,3.6272630692,-15.2112731934,0.8302437234091307,-0.8079439895641661
3359.818286283781,4.0420980453,2.9781017303,-38.4677429199,0.5428319115883191,-2.6533462928912286
5455.594781168515,4.1042833328,2.1619675159,-56.2622947693,0.27747487256186126,-5.567763393947356
8858.667904100823,4.0907139778,1.4368766546,-69.255317688,0.12337885852874167,-9.087592520606076
14384.498882876629,4.1033005714,0.8733296394,-76.3887252808,0.04529911714564135,-13.439102620602931
23357.21469090121,4.1164031029,0.5173236132,-80.7476654053,0.01579387915055549,-18.01511189385365
37926.90190732246,4.1284351349,0.2755737901,-83.7907333374,0.004455586585881301,-23.5109511222386
61584.82110660255,4.1417765617,0.0972694829,-79.2843856812,0.0005515436412768561,-32.584201180091746
100000.0,4.1545214653,0.093168959,85.0025100708,0.0005029218120688244,-32.98499528316826
