frequencia (Hz),Vpp1 (V),Vpp2 (V),fase (Ch2-Ch1) (graus),T,T_dB
1525.9999999999995,4.1023211479,4.1201348305,-0.4392922521,1.0087035405127995,0.037635451887829005
1526.6853287554895,4.1149454117,4.1347646713,-0.8785845041,1.0096560155439371,0.04173437152421033
1527.3709652930931,4.1276082993,4.1215662956,-0.440097779,0.9970745375472254,-0.012723742505829064
1528.0569097510327,4.1152257919,4.1342482567,0.1100917384,1.0092662862507593,0.04005766228765267
1528.7431622675972,4.1278848648,4.0956068039,-0.4403669536,0.9844221132373858,-0.06818639230603842
1529.429722981138,4.114710331,4.1346883774,-1.321100831,1.0097341218381803,0.042070325750991164
1530.1165920300632,4.1280078888,4.1214900017,-1.3227188587,0.9968446080574647,-0.01372535893839771
1530.8037695528485,4.0892701149,4.1088080406,-0.220318228,1.009578531035784,0.04140106607044451
1531.49125568803,4.1270170212,4.0945725441,-0.2205882221,0.9843388354979761,-0.0685538016935096
1532.1790505742074,4.1136817932,4.0826191902,0.4411764443,0.9849549250652017,-0.06583643861145828
1532.8671543500382,4.1015067101,4.0951833725,-0.883435607,0.9969189550731734,-0.013401463976323599
1533.5555671542468,4.1141252518,4.1087427139,-0.2208589017,0.9973850981360997,-0.011371248339271903
1534.2442891256196,4.1272640228,4.0948357582,-0.2211302072,0.9843475636138208,-0.06851529304580911
1534.9333204030008,4.1140871048,4.082233429,-0.8845208287,0.9845747743936466,-0.0675129539850907
1535.6226611253023,4.1273832321,4.1207075119,-0.2209944725,0.9967677721710165,-0.014060122123498596
1536.3123114314972,4.1137371063,4.133389473,0.221402213,1.00957732998675,0.04139589946614186
1537.0022714606173,4.1270294189,4.1209921837,-0.6650246382,0.997076434987284,-0.012715477858281764
1537.692541351761,4.113380909,4.107834816,-1.325966835,0.9973052074633936,-0.01171913270240281
1538.3831212440894,4.1007242203,4.0951976776,0.2216748744,0.9973064179180317,-0.011713861563267527
1539.0740112768215,4.1138176918,4.1336321831,-0.0,1.0096563395518392,0.04173576521492493
1539.7652115892429,4.1264767647,4.1209154129,-0.4436229467,0.9973063683460542,-0.011714077433098456
1540.4567223207027,4.113304615,4.1335940361,-0.0,1.0098895963879932,0.04273898237830413
1541.148543610607,4.1259613037,4.1208767891,-0.2220851481,0.9975368737875531,-0.010710417199324036
1541.84067559843,4.113266468,4.1081981659,-0.8888889551,0.9975371498061553,-0.010709215506009213
1542.5331184237064,4.1521902084,4.1208386421,-0.4444444776,0.984955792958783,-0.06583261182489578
1543.225872226035,4.1132283211,4.1081600189,-0.2219482064,0.997537126930708,-0.010709315098096138
1543.9189371450734,4.1258850098,4.0942540169,-0.6666666865,0.984725825502988,-0.06684672087264007
1544.612313320546,4.1392197609,4.1074914932,-0.4452689886,0.9847282016713191,-0.06683624124955641
1545.3060008922398,4.1519584656,4.1193380356,0.2224969119,0.9843484529854832,-0.06851136913676377
1546.0000000000005,4.1382293701,4.1073026657,-1.1138613224,0.9851090224344476,-0.0651570328758144
