frequencia (Hz),Vpp1 (V),Vpp2 (V),fase (Ch2-Ch1) (graus),T,T_dB
10.0,7.0616621971,6.4999380112,-0.2508590221,0.8472362948060991,-0.7199544773487554
27.825594022071243,5.3653964996,4.9692788124,-3.1446068287,0.8577941612211101,-0.6661691421501861
77.4263682681127,4.4518704414,4.1028404236,-8.2182235718,0.8493451625749074,-0.7091578238456953
215.44346900318823,4.0840549469,3.78723526,-25.2926120758,0.8599266632059339,-0.6553858494603737
599.4842503189409,3.996090889,2.6568930149,-56.3334503174,0.4420561318374716,-3.5452258087833632
1668.100537200059,4.0812416077,1.1698944569,-74.7865219116,0.08216914260131736,-10.852912446736852
4641.588833612777,4.0674257278,0.4549957514,-81.7610855103,0.012513402671365813,-19.02624579957926
12915.496650148827,4.3876905441,0.2028386444,-87.8712463379,0.002137122511059468,-26.701705810871943
35938.13663804626,4.515291214,0.1099088043,-118.6905975342,0.000592506931819276,-32.273065644178565
100000.0,5.26583004,0.1852594912,-1.4013394117,0.0012377338219932029,-29.073727414779952
