Arquivo contendo os pontos amostrais do interferÔmetro de Michelson,,,
Data:,,8\10\2019,
Hora:,,8:53:34,
Quantidade de franjas:,,0,
ponto,tempo,leitura,marcação
347,17315,72,0
348,17362,72,0
349,17457,76,76
350,17489,76,0
351,17519,51,0
352,17572,51,0
353,17682,16,0
354,17733,16,0
355,17763,50,0
356,17811,50,0
357,17861,75,0
358,17940,75,0
359,17969,75,0
360,18045,75,0
361,18086,75,0
362,18126,44,0
363,18168,44,0
364,18203,14,0
365,18329,14,0
366,18357,45,0
367,18400,45,0
368,18462,75,0
369,18544,75,0
370,18562,72,0
371,18598,72,0
372,18684,72,0
373,18745,33,0
374,18780,33,0
375,18830,26,0
376,18916,26,0
377,18956,62,0
378,18981,62,0
379,19011,62,0
380,19051,77,0
381,19141,77,0
382,19192,72,0
383,19230,72,0
384,19251,72,0
385,19306,33,0
386,19368,33,0
387,19411,20,0
388,19441,20,0
389,19481,20,0
390,19550,58,0
391,19615,58,0
392,19660,77,0
393,19693,77,0
394,19766,77,0
395,19820,69,0
396,19849,69,0
397,19879,31,0
398,19933,31,0
399,19974,31,0
400,20032,13,0
401,20072,13,0
402,20105,13,0
403,20171,46,0
404,20242,46,0
405,20288,73,0
406,20319,73,0
407,20413,77,0
408,20450,77,0
409,20478,63,0
410,20520,63,0
411,20593,63,0
412,20656,30,0
413,20684,30,0
414,20732,22,0
415,20855,22,0
416,20878,67,0
417,20918,67,0
418,20965,77,0
419,21072,77,0
420,21095,59,0
421,21125,59,0
422,21163,59,0
423,21204,18,0
424,21276,18,0
425,21308,18,0
426,21338,35,0
427,21401,35,0
428,21465,35,0
429,21500,72,0
430,21529,72,0
431,21558,76,0
432,21701,76,76
433,21726,51,0
434,21757,51,0
435,21801,15,0
436,21896,15,0
437,21918,46,0
438,21958,46,0
439,22022,46,0
440,22093,75,0
441,22160,75,0
442,22250,72,0
443,22348,72,0
444,22376,39,0
445,22436,14,0
446,22509,14,0
447,22556,52,0
448,22600,52,0
449,22669,76,0
450,22748,76,0
451,22782,72,0
452,22812,72,0
453,22878,72,0
454,22904,40,0
455,22955,40,0
456,23004,40,0
457,23085,15,0
458,23162,15,0
459,23199,51,0
460,23265,76,0
461,23356,76,0
462,23374,73,0
463,23398,73,0
464,23443,73,0
465,23507,41,0
466,23551,41,0
467,23587,41,0
468,23620,13,0
469,23652,13,0
470,23725,13,0
471,23761,47,0
472,23801,47,0
473,23838,75,0
474,23896,75,0
475,23944,75,0
476,23992,73,0
477,24024,73,0
478,24056,73,0
479,24110,42,0
480,24209,42,0
481,24245,14,0
482,24278,14,0
483,24378,42,0
484,24422,42,0
485,24471,71,0
486,24489,71,0
487,24578,71,0
488,24631,77,0
489,24652,77,0
490,24682,56,0
491,24721,56,0
492,24791,56,0
493,24823,15,0
494,24846,15,0
495,24879,15,0
496,24947,45,0
497,25035,45,0
498,25064,74,0
499,25095,74,0
500,25119,74,0
501,25199,72,0
502,25313,72,72
503,25343,36,0
504,25417,36,0
505,25473,17,0
506,25500,17,0
507,25529,58,0
508,25560,58,0
509,25607,58,0
510,25667,77,0
511,25719,77,0
512,25758,68,0
513,25835,68,0
514,25899,68,0
515,25937,33,0
516,25966,33,0
